"idRecipe","nameRecipe","difficulte","prix","quantite","preparationTime","totalTime","image"
"546","Tarte bananes chocolat","très facile","bon marché","8 personnes","10 min","30 min","[""https://assets.afcdn.com/recipe/20230621/143656_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20130628/381_w150h150c1cx1250cy1875.webp"", ""https://assets.afcdn.com/recipe/20130210/22337_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"547","Charlotte au chocolat","facile","moyen","6 personnes","45 min","45 min","[""https://assets.afcdn.com/recipe/20171221/76206_w150h150c1cx3000cy2000cxb6000cyb4000.webp"", ""https://assets.afcdn.com/recipe/20170615/69344_w150h150c1cx2808cy1872.webp"", ""https://assets.afcdn.com/recipe/20100120/18139_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"548","Gratin Dauphinois de Claudie","très facile","bon marché","2 personnes","30 min","1 h 30 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"549","Dauphinois de courgettes","facile","moyen","4 personnes","20 min","1 h 20 min","[""https://assets.afcdn.com/recipe/20180601/79379_w150h150c1cx2000cy3000cxb4000cyb6000.webp"", ""https://assets.afcdn.com/recipe/20140628/51512_w150h150c1cx480cy360.webp"", ""https://assets.afcdn.com/recipe/20150720/50858_w150h150c1cx2656cy1494.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"550","Buche de Noël Praliné-Chocolat de mon Arrière-Grand-Mère","moyenne","moyen","8 personnes","","4 h 10 min","[""https://assets.afcdn.com/recipe/20130627/64094_w150h150c1cx1250cy1875.webp"", ""https://assets.afcdn.com/recipe/20181017/82898_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20131221/66616_w150h150c1cx302cy226.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"551","Galettes de carottes au fromage","très facile","bon marché","4 personnes","30 min","40 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"552","Poulet au chorizo","facile","moyen","4 personnes","25 min","1 h 30 min","[""https://assets.afcdn.com/recipe/20160908/15966_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20110419/18495_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20150222/10623_w150h150c1cx480cy270.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"553","Clafoutis aux mirabelles ou aux quetsches","facile","moyen","4 personnes","20 min","50 min","[""https://assets.afcdn.com/recipe/20160908/4469_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20140731/30196_w150h150c1cx968cy1296.webp"", ""https://assets.afcdn.com/recipe/20100120/3727_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"554","Financiers au bon goût d'amande","très facile","bon marché","15 financiers environs","15 min","30 min","[""https://assets.afcdn.com/recipe/20181017/82878_w150h150c1cx1820cy2427cxb3641cyb4855.webp"", ""https://assets.afcdn.com/recipe/20180412/78540_w150h150c1cx1370cy1448cxb2741cyb2897.webp"", ""https://assets.afcdn.com/recipe/20100120/66699_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"555","Courgettes farcies à la ricotta et aux lardons","facile","moyen","4 personnes","20 min","55 min","[""https://assets.afcdn.com/recipe/20230630/143915_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20160926/1255_w150h150c1cx1872cy2808.webp"", ""https://assets.afcdn.com/recipe/20100120/894_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"556","Tarte au saumon fumé","très facile","assez cher","8 personnes","10 min","40 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"557","Courgettes carbonara","très facile","bon marché","3 personnes","10 min","20 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"558","Boulettes de kefta à la marocaine","très facile","bon marché","6 personnes","20 min","1 h","[""https://assets.afcdn.com/recipe/20161114/55224_w150h150c1cx1360cy1360.webp"", ""https://assets.afcdn.com/recipe/20221013/136073_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20131203/47767_w150h150c1cx1632cy1224.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"559","Pâtes au potiron","facile","bon marché","4 personnes","30 min","45 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"560","Tagliatelles de courgettes 'à l'italienne' en salade","très facile","bon marché","4 personnes","15 min","17 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"561","Dal lentilles au lait de coco","facile","bon marché","3 personnes","15 min","35 min","[""https://assets.afcdn.com/recipe/20130201/21356_w150h150c1cx1250cy1875.webp"", ""https://assets.afcdn.com/recipe/20200622/112046_w150h150c1cx2880cy1920cxb5760cyb3840.webp"", ""https://assets.afcdn.com/recipe/20200622/112047_w150h150c1cx1920cy2880cxb3840cyb5760.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"562","Gâteau moelleux à la farine de châtaigne","facile","moyen","7 personnes","20 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20230619/143562_w150h150c1cx1920cy1080cxb3840cyb2160.webp"", ""https://assets.afcdn.com/recipe/20121208/39364_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20141118/32739_w150h150c1cx1296cy968.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"563","Délicieux cookies américains au beurre salé","très facile","bon marché","20 cookies","20 min","28 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"564","Pâte à choux d'une apprentie pâtissière","moyenne","bon marché","15 choux","20 min","50 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"565","Lasagnes de courgettes","facile","moyen","4 personnes","1 h","1 h 30 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"566","Mousse de mascarpone aux fruits rouges","très facile","moyen","4 personnes","10 min","10 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"567","Fish and Chips (la vraie pâte à friture anglaise)","très facile","bon marché","4 personnes","20 min","24 min","[""https://assets.afcdn.com/recipe/20160531/29017_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20130909/29018_w150h150c1cx1000cy1500.webp"", ""https://assets.afcdn.com/recipe/20130808/32872_w150h150c1cx1296cy968.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"568","Soufflé aux deux fromages","très facile","bon marché","4 personnes","20 min","50 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"569","Punch délicieux","très facile","assez cher","15 personnes","10 min","10 min","[""https://assets.afcdn.com/recipe/20211215/125896_w150h150c1cx2242cy4335cxb4882cyb6096.webp"", ""https://assets.afcdn.com/recipe/20180621/79734_w150h150c1cx1777cy2370cxb3555cyb4740.webp"", ""https://assets.afcdn.com/recipe/20130320/58970_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"570","Langoustines au curry et pâte feuilletée","facile","assez cher","6 personnes","20 min","35 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"571","Sauté de porc au curry maison","facile","bon marché","6 personnes","15 min","1 h 15 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"572","Far breton aux pruneaux","facile","bon marché","6 personnes","15 min","45 min","[""https://assets.afcdn.com/recipe/20180706/80427_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20130726/28335_w150h150c1cx1740cy2468.webp"", ""https://assets.afcdn.com/recipe/20131205/23137_w150h150c1cx1424cy1067.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"573","Blanquette de poulet","moyenne","bon marché","4 personnes","20 min","1 h 20 min","[""https://assets.afcdn.com/recipe/20200702/112424_w150h150c1cx1920cy2880cxb3840cyb5760.webp"", ""https://assets.afcdn.com/recipe/20200227/108320_w150h150c1cx1512cy1512cxb3024cyb3024.webp"", ""https://assets.afcdn.com/recipe/20121111/952_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"574","Crumble aux fruits rouges","très facile","bon marché","8 personnes","40 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20200504/110616_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20170727/70964_w150h150c1cx1728cy1152cxb3455cyb2304.webp"", ""https://assets.afcdn.com/recipe/20200504/110617_w150h150c1cx540cy960cxb1080cyb1920.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"575","Gâteau nature moelleux léger dit gâteau anglais","très facile","bon marché","6 personnes","10 min","35 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"576","Papillote de saumon super fondant aux poireaux","très facile","moyen","6 personnes","15 min","45 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"577","Poulet Massala","facile","bon marché","4 personnes","40 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"578","Crevettes Thailandaises à la mangue","facile","assez cher","2 personnes","15 min","35 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"579","Roulé au nutella","facile","bon marché","6 personnes","15 min","25 min","[""https://assets.afcdn.com/recipe/20170426/23587_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20170426/23588_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20130526/34662_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"580","Brioche de Micheline (26ème rencontre)","facile","bon marché","6 personnes","15 min","35 min","[""https://assets.afcdn.com/recipe/20230619/143540_w150h150c1cx1920cy1080cxb3840cyb2160.webp"", ""https://assets.afcdn.com/recipe/20181003/82455_w150h150c1cx1122cy1211cxb3750cyb2500.webp"", ""https://assets.afcdn.com/recipe/20131110/52611_w150h150c1cx1632cy1224.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"581","Pâte à crêpes légère","très facile","bon marché","20 crêpes","15 min","17 min","[""https://assets.afcdn.com/recipe/20171019/73339_w150h150c1cx1872cy2808cxb3744cyb5616.webp"", ""https://assets.afcdn.com/recipe/20180713/81015_w150h150c1cx1785cy2381cxb3571cyb4762.webp"", ""https://assets.afcdn.com/recipe/20130720/63037_w150h150c1cx1296cy968.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"582","Muffins aux pommes","facile","bon marché","16 muffins","15 min","35 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"583","Pain d'épices léger","très facile","bon marché","8 pesonnes","10 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"584","Petits gâteaux aux blancs d'oeuf (Restes de blanc d'oeuf)","très facile","bon marché","6 petits gâteaux ","10 min","25 min","[""https://assets.afcdn.com/recipe/20180302/77828_w150h150c1cx1848cy1224cxb3696cyb2448.webp"", ""https://assets.afcdn.com/recipe/20221013/136067_w150h150c1cx1920cy1080cxb3840cyb2160.webp"", ""https://assets.afcdn.com/recipe/20140906/45957_w150h150c1cx1280cy960.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"585","Far breton  très facile","très facile","bon marché","8 personnes","15 min","1 h 5 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"586","Rillettes de thon au basilic","très facile","bon marché","4 personnes","15 min","15 min","[""https://assets.afcdn.com/recipe/20230313/141208_w150h150c1cx1054cy700cxb2121cyb1414.webp"", ""https://assets.afcdn.com/recipe/20130122/12781_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20160501/31892_w150h150c1cx2016cy1512.webp"", ""https://assets.afcdn.com/recipe/20230416/142160_w150h150c1cx1228cy1228cxb2457cyb2457.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"587","Tarte Bounty (choco-coco)","très facile","bon marché","8 personnes","15 min","50 min","[""https://assets.afcdn.com/recipe/20160928/3396_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20110410/3632_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20131030/3398_w150h150c1cx1920cy2676.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"588","Beignets à la banane","très facile","bon marché","6 personnes","10 min","15 min","[""https://assets.afcdn.com/recipe/20160719/15567_w150h150c1cx1424cy2136.webp"", ""https://assets.afcdn.com/recipe/20110317/8465_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20140130/27387_w150h150c1cx1296cy972.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"589","Soupe de courge","très facile","bon marché","4 personnes","15 min","45 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"590","Quatre quarts ultra simple","très facile","bon marché","8 personnes","15 min","1 h","[""https://assets.afcdn.com/recipe/20171120/75350_w150h150c1cx2000cy3000cxb4000cyb6000.webp"", ""https://assets.afcdn.com/recipe/20171120/75349_w150h150c1cx2000cy3000cxb4000cyb6000.webp"", ""https://assets.afcdn.com/recipe/20100120/48505_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"591","Chou-fleur gratiné au jambon","très facile","bon marché","4 personnes","25 min","1 h","[""https://assets.afcdn.com/recipe/20230620/143634_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20160223/51372_w150h150c1cx250cy375.webp"", ""https://assets.afcdn.com/recipe/20150311/51374_w150h150c1cx1250cy1455.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"592","Risotto au potiron","très facile","bon marché","4 personnes","40 min","1 h","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"593","Tagliatelles au saumon frais","très facile","moyen","5 personnes","15 min","25 min","[""https://assets.afcdn.com/recipe/20230315/141255_w150h150c1cx1103cy787cxb2120cyb1414.webp"", ""https://assets.afcdn.com/recipe/20170105/23216_w150h150c1cx2049cy1728.webp"", ""https://assets.afcdn.com/recipe/20180621/79815_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"594","Flan coco","très facile","bon marché","6 personnes","15 min","1 h","[""https://assets.afcdn.com/recipe/20181017/82780_w150h150c1cx1809cy2412cxb3618cyb4824.webp"", ""https://assets.afcdn.com/recipe/20180223/77719_w150h150c1cx2128cy1416cxb4256cyb2832.webp"", ""https://assets.afcdn.com/recipe/20140312/65812_w150h150c1cx480cy360.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"595","Flan de carottes","très facile","bon marché","6 personnes","30 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"596","Gratin de pâtes lardons et champignons","très facile","bon marché","8 personnes","30 min","50 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"597","Vin chaud aux épices (Alsace)","très facile","bon marché","12 personnes","15 min","20 min","[""https://assets.afcdn.com/recipe/20221214/138438_w150h150c1cx1060cy707cxt124cyt118cxb1902cyb1262.webp"", ""https://assets.afcdn.com/recipe/20130122/23388_w150h150c1cx930cy861.webp"", ""https://assets.afcdn.com/recipe/20121209/29551_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"598","Cuisses de poulet au four","très facile","bon marché","4 personnes","10 min","45 min","[""https://assets.afcdn.com/recipe/20221010/135896_w150h150c1cx1089cy845cxt154cyt380cxb1499cyb1342.webp"", ""https://assets.afcdn.com/recipe/20180713/81225_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20120923/64412_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"599","Porc au caramel","très facile","moyen","4 personnes","10 min","40 min","[""https://assets.afcdn.com/recipe/20180208/77417_w150h150c1cx1980cy1321cxb3960cyb2643.webp"", ""https://assets.afcdn.com/recipe/20100120/2604_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20140110/1788_w150h150c1cx2136cy1424.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"600","Rôti de porc aux pruneaux","facile","bon marché","4 personnes","30 min","1 h 30 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"601","Lapin au vin blanc","facile","moyen","4 personnes","15 min","1 h 15 min","[""https://assets.afcdn.com/recipe/20221013/136109_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20100120/50459_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20130216/52331_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"602","Courgettes rondes farcies","facile","bon marché","4 personnes","10 min","1 h 20 min","[""https://assets.afcdn.com/recipe/20181017/82818_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20130110/14820_w150h150c1cx192cy256.webp"", ""https://assets.afcdn.com/recipe/20140805/25476_w150h150c1cx480cy270.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"603","Gâteau chocolat sans beurre (avec miel et courgettes) !","facile","bon marché","6 personnes","30 min","1 h","[""https://assets.afcdn.com/recipe/20160425/22273_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20160425/24949_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20170927/72427_w150h150c1cx782cy782cxb1564cyb1564.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"604","Potée de chou blanc à la saucisse","facile","bon marché","4 personnes","15 min","55 min","[""https://assets.afcdn.com/recipe/20230619/143560_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20181003/82449_w150h150c1cx2136cy1424cxb4268cyb2843.webp"", ""https://assets.afcdn.com/recipe/20130128/2055_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"605","Magret de canard séché de Marielle (19ème rencontre Marmiton)","très facile","moyen","8 personnes","10 min","10 min","[""https://assets.afcdn.com/recipe/20130121/63876_w150h150c1cx750cy889.webp"", ""https://assets.afcdn.com/recipe/20100120/62047_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20151102/63877_w150h150c1cx1500cy2250.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"606","Croziflette","facile","moyen","4 personnes","10 min","50 min","[""https://assets.afcdn.com/recipe/20221010/135908_w150h150c1cx1139cy384cxb2121cyb1238.webp"", ""https://assets.afcdn.com/recipe/20191231/105964_w150h150c1cx2150cy1433cxb4300cyb2867.webp"", ""https://assets.afcdn.com/recipe/20140920/14783_w150h150c1cx1776cy1000.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"607","Pain hamburger avec map","très facile","bon marché","8 pains","15 min","1 h 15 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"608","Tartare de saumon et sa salade de lentilles (17ème rencontre)","très facile","moyen","6 personnes","40 min","1 h","[""https://assets.afcdn.com/recipe/20130328/59922_w150h150c1cx1000cy1504.webp"", ""https://assets.afcdn.com/recipe/20130419/61515_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100120/55937_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"609","Gâteau de crêpes de la mer","très facile","bon marché","6 personnes","30 min","30 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"610","Fondant au chocolat délicieux","facile","bon marché","6 personnes","15 min","45 min","[""https://assets.afcdn.com/recipe/20160331/2847_w150h150c1cx1500cy1000.webp"", ""https://assets.afcdn.com/recipe/20220421/131347_w150h150c1cx2120cy1416cxb4240cyb2832.webp"", ""https://assets.afcdn.com/recipe/20130918/6206_w150h150c1cx600cy800.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"611","Chouquettes simples","très facile","bon marché","40 petits choux","10 min","40 min","[""https://assets.afcdn.com/recipe/20160405/44404_w150h150c1cx1066cy1500.webp"", ""https://assets.afcdn.com/recipe/20110302/42117_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20160401/43062_w150h150c1cx720cy1280.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
